student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,previous_gpa,pass_fail
S01284,Male,15,High School,High,Yes,Quiet,3.97,91.7,9.11,4.0,77.8,60.2,4,Yes,2.01,Fail
S01285,Male,15,Master,Low,Yes,Noisy,4.2,84.2,8.01,1.2,61.6,70.5,1,Yes,2.93,Pass
S01286,Female,15,High School,High,Yes,Moderate,3.44,88.6,5.81,4.1,69.0,43.5,0,No,1.59,Fail
S01287,Female,15,Master,Medium,Yes,Moderate,4.83,80.7,7.41,2.9,100.0,70.4,2,No,1.99,Pass
S01288,Female,15,High School,Medium,Yes,Moderate,2.26,87.9,7.59,1.8,79.5,89.1,4,No,2.52,Pass
S01289,Female,17,Bachelor,Low,Yes,Noisy,4.37,82.5,5.42,2.4,70.5,74.6,0,No,2.64,Pass
S01290,Male,17,Bachelor,Low,Yes,Noisy,3.85,87.7,8.19,3.7,56.7,81.1,1,Yes,1.84,Pass
S01291,Male,18,Bachelor,High,Yes,Moderate,2.27,67.3,7.21,3.7,87.0,90.7,5,No,1.33,Fail
S01292,Male,15,High School,Medium,Yes,Moderate,3.28,89.9,8.12,3.9,67.9,79.4,3,Yes,2.27,Pass
S01293,Female,16,Bachelor,Medium,No,Quiet,3.36,90.4,6.69,1.5,79.5,61.3,0,No,1.29,Fail
S01294,Male,15,Bachelor,Low,Yes,Moderate,2.83,90.3,7.48,2.8,100.0,62.5,2,Yes,1.85,Fail
S01295,Female,17,High School,High,Yes,Noisy,2.82,75.1,7.53,2.1,92.0,71.7,1,No,1.25,Fail
S01296,Female,15,High School,Low,Yes,Moderate,1.17,77.9,7.19,2.8,99.6,51.5,1,Yes,1.98,Fail
S01297,Male,17,Bachelor,Medium,Yes,Moderate,2.17,76.3,7.49,1.7,82.2,100.0,2,No,1.65,Fail
S01298,Male,18,High School,Medium,Yes,Quiet,2.71,88.3,6.86,4.9,90.7,70.1,4,No,0.76,Fail
S01299,Male,18,Bachelor,Medium,Yes,Quiet,2.31,91.6,5.82,2.5,99.9,92.5,0,No,2.2,Pass
S01300,Female,18,High School,Medium,Yes,Quiet,1.97,78.0,4.96,2.3,67.6,67.5,1,No,1.12,Fail
S01301,Male,17,Bachelor,Medium,Yes,Moderate,4.27,98.2,6.38,3.2,79.4,71.1,3,No,2.31,Pass
S01302,Female,15,High School,High,Yes,Moderate,2.88,98.0,7.79,4.2,69.7,69.3,1,Yes,1.52,Fail
S01303,Male,15,Bachelor,High,Yes,Noisy,5.6,86.4,5.96,2.6,70.9,89.1,2,Yes,2.37,Pass
S01304,Female,16,High School,Medium,Yes,Moderate,3.27,88.7,8.06,2.0,77.8,100.0,0,Yes,1.85,Fail
S01305,Female,17,High School,Low,Yes,Quiet,4.25,68.2,8.39,3.8,65.7,48.1,4,No,1.79,Fail
S01306,Male,16,High School,Medium,Yes,Quiet,2.75,79.7,7.47,5.1,74.4,66.3,2,No,1.85,Fail
S01307,Female,18,PhD,Low,Yes,Noisy,2.21,72.5,6.83,4.6,90.3,76.4,0,No,1.76,Fail
S01308,Female,15,High School,Low,Yes,Moderate,3.32,75.9,8.02,1.0,78.6,43.8,1,Yes,1.25,Fail
S01309,Male,17,Bachelor,High,Yes,Moderate,4.55,90.1,8.16,3.7,68.4,60.6,1,Yes,2.54,Pass
S01310,Female,16,High School,High,Yes,Moderate,2.89,92.6,6.77,2.4,91.8,76.4,2,No,2.97,Pass
S01311,Male,16,High School,Medium,Yes,Quiet,3.54,93.0,7.08,4.4,66.3,62.6,2,No,2.96,Pass
S01312,Female,16,Bachelor,High,No,Quiet,3.31,87.4,6.19,5.3,63.4,70.4,2,Yes,1.59,Fail
S01313,Male,15,Bachelor,High,Yes,Quiet,2.88,90.2,7.29,0.0,98.0,77.5,3,Yes,2.78,Pass
S01314,Male,15,PhD,Medium,Yes,Quiet,2.94,69.1,4.93,2.5,92.7,62.2,2,No,1.89,Fail
S01315,Female,15,Master,Medium,No,Moderate,1.8,72.1,6.71,1.8,74.9,55.6,3,No,1.48,Fail
S01316,Female,17,Master,Medium,Yes,Moderate,2.99,82.9,6.15,1.4,100.0,55.2,1,No,0.98,Fail
S01317,Female,15,Bachelor,Low,Yes,Noisy,3.78,91.0,6.91,1.1,71.5,36.4,0,No,2.7,Pass
S01318,Female,17,Bachelor,Low,Yes,Noisy,3.35,80.5,6.2,1.8,90.2,78.1,3,Yes,2.17,Pass
S01319,Female,16,High School,Medium,Yes,Moderate,3.22,71.4,5.09,2.1,56.3,67.6,1,Yes,1.74,Fail
S01320,Male,16,Master,Medium,Yes,Moderate,3.87,78.1,6.35,2.0,64.8,88.2,2,No,2.14,Pass
S01321,Female,18,Bachelor,Low,Yes,Moderate,3.23,75.7,6.52,0.0,95.4,79.7,2,No,1.8,Fail
S01322,Male,15,Bachelor,Medium,Yes,Quiet,3.02,67.8,8.07,2.7,100.0,71.2,0,No,1.78,Fail
S01323,Male,16,High School,Medium,Yes,Noisy,3.88,100.0,6.36,4.1,77.7,75.4,2,No,1.68,Fail
S01324,Female,15,High School,High,Yes,Moderate,3.16,97.3,6.15,1.7,100.0,44.0,1,No,2.25,Pass
S01325,Male,17,Master,Medium,Yes,Noisy,2.72,65.2,5.81,0.0,99.6,75.4,1,No,1.32,Fail
S01326,Male,16,High School,Medium,Yes,Noisy,3.56,65.8,8.14,2.6,69.6,66.9,2,Yes,2.45,Pass
S01327,Male,15,Bachelor,High,Yes,Moderate,2.96,76.9,6.78,4.1,74.3,59.2,1,No,1.32,Fail
S01328,Male,16,High School,High,Yes,Quiet,2.66,70.1,7.27,2.7,59.2,63.6,0,Yes,1.77,Fail
S01329,Female,16,Master,Medium,Yes,Moderate,3.19,100.0,5.46,1.4,73.4,80.0,2,No,1.94,Fail
S01330,Male,15,High School,High,Yes,Moderate,3.2,77.0,5.25,0.9,83.6,61.5,1,No,1.86,Fail
S01331,Female,16,Master,Medium,Yes,Moderate,1.68,88.6,6.1,3.6,80.6,66.4,2,No,1.24,Fail
S01332,Female,16,High School,Low,Yes,Quiet,3.4,79.9,8.62,2.2,80.5,78.6,0,Yes,1.55,Fail
S01333,Male,16,Master,Low,Yes,Moderate,5.22,73.3,5.91,1.7,95.0,66.2,0,No,3.05,Pass
S01334,Female,16,Bachelor,Medium,Yes,Noisy,1.82,95.5,6.37,1.6,82.5,72.7,2,No,1.78,Fail
S01335,Female,17,High School,Medium,Yes,Noisy,2.4,91.5,7.01,2.8,90.3,68.4,0,Yes,2.4,Pass
S01336,Female,16,Bachelor,Medium,Yes,Quiet,6.34,84.4,6.37,2.7,86.7,86.6,4,Yes,2.89,Pass
S01337,Male,18,High School,Medium,Yes,Noisy,2.01,100.0,7.48,2.6,84.3,72.6,0,Yes,1.46,Fail
S01338,Female,16,High School,Low,Yes,Quiet,4.54,87.4,6.17,1.1,93.8,45.4,3,No,2.34,Pass
S01339,Female,15,Master,Low,No,Noisy,2.73,80.4,5.9,1.0,92.0,81.9,1,No,2.27,Pass
S01340,Female,18,Bachelor,Medium,Yes,Quiet,3.07,100.0,9.72,1.5,63.1,60.3,2,No,2.07,Pass
S01341,Male,17,High School,Low,No,Noisy,2.84,89.0,6.06,2.9,100.0,62.3,2,No,1.85,Pass
S01342,Female,18,High School,Medium,Yes,Moderate,3.51,100.0,7.8,3.3,81.8,66.8,2,No,2.19,Fail
S01343,Male,18,High School,Medium,Yes,Quiet,1.1,84.6,6.06,4.7,65.7,100.0,3,No,1.9,Fail
S01344,Male,18,Master,Medium,Yes,Quiet,3.22,54.9,5.46,1.2,79.0,77.9,5,No,2.0,Fail
S01345,Male,15,High School,Medium,Yes,Quiet,2.52,69.4,6.91,3.6,83.9,98.8,5,No,2.52,Pass
S01346,Male,15,PhD,Medium,Yes,Moderate,0.76,95.8,5.66,0.0,88.8,70.9,2,No,1.86,Fail
S01347,Male,15,Master,High,Yes,Noisy,4.35,79.1,6.61,3.0,94.4,81.0,3,No,1.02,Fail
S01348,Male,17,High School,High,Yes,Moderate,0.5,87.5,6.2,0.2,91.5,96.9,2,No,2.37,Pass
S01349,Female,15,High School,High,Yes,Noisy,5.58,96.3,8.25,0.7,100.0,82.3,2,No,3.12,Pass
S01350,Male,15,Master,Medium,Yes,Moderate,3.74,86.8,5.46,3.6,81.6,76.2,2,No,1.83,Pass
S01351,Female,18,High School,Low,Yes,Noisy,1.37,76.4,7.68,2.7,77.6,49.5,5,Yes,1.77,Fail
S01352,Female,15,High School,Medium,No,Moderate,4.61,84.9,7.29,2.0,58.0,54.8,1,No,1.94,Fail
S01353,Male,16,High School,High,Yes,Quiet,2.1,86.1,6.77,0.4,94.5,74.5,4,Yes,2.02,Pass
S01354,Female,15,Bachelor,Low,Yes,Moderate,2.15,80.9,6.24,3.1,89.1,85.2,2,Yes,1.69,Fail
S01355,Female,17,Master,Low,Yes,Quiet,0.84,71.2,7.17,2.6,71.5,68.0,2,Yes,1.07,Fail
S01356,Female,17,High School,Low,Yes,Noisy,1.96,81.4,7.23,3.6,83.6,80.1,0,Yes,1.75,Fail
S01357,Female,16,High School,Medium,Yes,Quiet,2.1,84.1,7.39,0.0,79.8,57.3,2,No,1.59,Fail
S01358,Male,17,Master,Medium,Yes,Quiet,3.98,70.6,6.73,3.4,82.6,60.5,0,No,2.49,Pass
S01359,Female,17,Master,Low,Yes,Quiet,4.4,75.8,5.85,1.7,75.9,77.2,1,Yes,3.51,Pass
S01360,Male,18,Bachelor,High,Yes,Moderate,1.51,77.8,7.88,2.9,81.7,70.9,3,Yes,1.73,Fail
S01361,Female,16,Master,Medium,No,Quiet,3.32,66.4,7.0,2.4,57.2,64.3,1,Yes,1.36,Fail
S01362,Female,18,Bachelor,Medium,Yes,Noisy,0.79,86.3,6.39,1.2,73.9,62.0,0,Yes,1.93,Fail
S01363,Male,18,Master,Medium,Yes,Quiet,3.33,87.4,6.0,1.9,84.6,47.5,3,No,2.11,Pass
S01364,Female,15,High School,Low,Yes,Quiet,5.59,79.6,7.92,1.2,69.4,69.6,0,No,2.62,Pass
S01365,Female,16,High School,Medium,Yes,Quiet,0.86,71.3,8.38,1.7,85.8,48.1,2,Yes,1.13,Fail
S01366,Female,15,Bachelor,Medium,No,Quiet,1.78,89.1,7.58,1.1,100.0,65.4,0,Yes,2.5,Pass
S01367,Male,15,Bachelor,Medium,No,Moderate,3.87,90.5,7.64,3.1,62.7,67.5,4,No,1.7,Fail
S01368,Female,18,PhD,Medium,Yes,Quiet,4.01,86.0,8.17,1.2,52.5,91.4,4,Yes,2.19,Pass
S01369,Male,17,High School,Medium,Yes,Quiet,1.87,85.4,6.64,3.3,98.1,54.2,2,No,2.01,Fail
S01370,Female,16,Master,Low,Yes,Quiet,4.77,90.9,9.13,7.4,100.0,77.2,0,No,1.83,Pass
S01371,Male,17,Master,Medium,Yes,Quiet,2.02,84.0,5.94,2.1,85.6,72.6,2,No,1.64,Fail
S01372,Male,18,High School,High,Yes,Moderate,5.01,75.8,6.76,0.1,80.1,54.2,0,Yes,2.07,Pass
S01373,Female,18,Master,Low,Yes,Moderate,3.56,84.3,6.23,5.7,70.3,70.9,0,No,1.95,Fail
S01374,Female,18,Bachelor,Low,Yes,Quiet,4.53,81.1,7.06,3.0,88.1,50.1,1,No,1.9,Fail
S01375,Male,18,Master,Medium,Yes,Quiet,3.44,84.3,8.73,2.3,79.8,70.9,2,No,2.61,Pass
S01376,Male,18,Bachelor,Medium,Yes,Moderate,3.79,93.8,6.76,1.9,92.7,66.7,2,No,1.36,Fail
S01377,Female,18,Bachelor,Low,Yes,Quiet,3.85,73.0,7.42,0.9,54.3,83.3,4,No,1.98,Fail
S01378,Male,17,Bachelor,Medium,Yes,Moderate,4.37,86.8,4.09,2.0,84.9,59.3,3,No,2.29,Pass
S01379,Female,15,High School,Medium,Yes,Noisy,2.96,72.5,7.43,1.3,67.5,36.7,1,No,2.05,Fail
S01380,Female,17,High School,High,Yes,Quiet,1.92,75.8,8.0,1.3,94.2,61.3,3,No,2.91,Pass
S01381,Female,16,Bachelor,Low,Yes,Quiet,2.91,100.0,7.12,3.4,62.8,79.3,0,No,2.2,Pass
S01382,Female,17,Master,Medium,Yes,Quiet,2.2,89.6,5.93,4.0,89.4,72.2,3,Yes,1.67,Fail
S01383,Male,18,Bachelor,Low,Yes,Moderate,2.28,86.6,5.8,2.2,71.3,61.4,2,No,2.0,Fail
S01384,Female,17,Bachelor,Medium,Yes,Quiet,4.99,68.4,6.45,3.3,73.5,88.2,2,Yes,1.82,Fail
S01385,Male,15,High School,Medium,Yes,Moderate,3.75,82.6,5.79,5.6,92.7,65.8,1,No,1.94,Fail
S01386,Female,16,Bachelor,Medium,No,Noisy,3.69,64.3,8.58,1.2,68.1,81.8,2,No,2.23,Pass
S01387,Male,17,High School,High,No,Quiet,4.29,85.4,7.47,0.0,57.5,70.4,3,No,2.19,Pass
S01388,Female,15,Master,Low,Yes,Quiet,3.74,72.5,8.44,3.7,81.1,80.1,1,No,1.89,Pass
S01389,Male,17,PhD,Medium,Yes,Moderate,5.24,90.6,6.71,1.4,70.1,81.5,1,No,2.66,Pass
S01390,Male,16,Bachelor,Low,No,Quiet,0.5,86.6,6.24,1.7,59.4,90.1,1,No,0.73,Fail
S01391,Female,17,High School,Medium,Yes,Quiet,1.8,72.8,6.3,2.7,85.3,58.3,2,No,1.38,Fail
S01392,Female,18,High School,Low,Yes,Moderate,2.16,88.8,6.54,4.4,84.3,78.6,2,Yes,1.94,Fail
S01393,Female,17,Bachelor,High,Yes,Quiet,1.35,100.0,6.51,2.7,81.8,51.5,0,Yes,2.12,Fail
S01394,Female,15,Bachelor,High,No,Noisy,3.14,83.0,8.22,0.0,87.6,78.4,4,No,2.66,Pass
S01395,Male,17,Master,High,Yes,Quiet,3.19,93.8,7.91,3.0,50.1,44.7,2,No,1.82,Fail
S01396,Female,15,High School,Low,Yes,Moderate,5.37,64.0,7.27,2.8,68.6,98.9,4,No,2.32,Pass
S01397,Male,16,Master,Medium,Yes,Moderate,4.08,89.7,5.34,1.2,84.2,75.0,2,No,2.75,Pass
S01398,Male,17,Bachelor,Low,Yes,Quiet,2.39,79.3,7.3,0.0,95.5,73.4,2,No,2.69,Pass
S01399,Female,16,High School,High,Yes,Quiet,3.59,82.3,6.69,1.9,83.6,45.3,1,No,1.61,Fail
S01400,Male,16,Bachelor,Medium,No,Quiet,0.81,91.0,8.41,0.0,97.5,85.2,4,Yes,2.09,Pass
S01401,Male,17,High School,Medium,Yes,Noisy,3.17,82.6,7.9,0.0,69.8,88.7,1,Yes,1.85,Fail
S01402,Male,15,Bachelor,Medium,Yes,Moderate,3.11,68.8,7.14,0.5,70.8,66.6,2,No,2.59,Pass
S01403,Male,16,Master,Low,No,Quiet,1.92,100.0,4.9,0.6,74.4,63.5,2,Yes,1.39,Fail
S01404,Female,16,Bachelor,Medium,Yes,Moderate,2.76,70.5,6.86,3.8,78.8,64.4,1,No,1.5,Fail
S01405,Female,17,Master,Low,Yes,Moderate,2.17,76.6,6.35,2.3,53.4,95.9,4,No,2.16,Pass
S01406,Female,17,Bachelor,High,Yes,Noisy,1.88,86.3,7.41,3.0,79.7,68.5,0,No,0.99,Fail
S01407,Female,17,High School,High,Yes,Quiet,3.81,86.4,5.86,2.8,79.5,72.5,2,No,1.39,Fail
S01408,Male,17,Bachelor,Medium,Yes,Noisy,4.24,89.3,7.26,0.2,70.8,84.3,1,No,3.22,Pass
S01409,Male,17,Bachelor,High,No,Moderate,3.61,86.3,4.78,1.7,68.5,33.4,0,No,1.83,Fail
S01410,Female,18,High School,Medium,Yes,Noisy,2.47,96.5,5.61,2.2,84.1,68.8,3,Yes,1.96,Fail
S01411,Female,17,High School,High,Yes,Quiet,2.2,89.9,6.12,2.3,88.8,65.8,2,No,1.84,Fail
S01412,Female,15,Bachelor,Medium,Yes,Quiet,2.51,73.1,6.45,3.2,82.2,72.3,0,Yes,2.39,Pass
S01413,Male,16,High School,Medium,Yes,Noisy,2.74,59.0,7.39,3.9,82.1,82.1,1,No,1.74,Fail
S01414,Female,15,High School,Medium,Yes,Noisy,1.95,86.5,5.34,3.1,79.5,84.6,4,No,1.85,Fail
S01415,Female,15,Bachelor,Low,Yes,Quiet,4.26,99.7,6.36,5.1,80.2,66.5,0,No,2.1,Fail
S01416,Female,18,High School,Medium,Yes,Moderate,2.76,72.5,6.38,3.2,90.2,67.8,2,No,2.29,Pass
S01417,Male,17,Master,Low,Yes,Quiet,3.92,74.5,7.69,1.7,100.0,70.4,0,No,2.89,Pass
S01418,Male,16,High School,High,Yes,Quiet,1.32,88.5,6.81,4.4,100.0,81.4,3,No,1.72,Fail
S01419,Male,15,Master,Low,Yes,Quiet,2.17,89.8,6.03,0.7,63.7,87.2,1,Yes,2.42,Pass
S01420,Male,17,Bachelor,Medium,Yes,Quiet,4.03,96.2,5.92,3.3,48.3,48.9,2,No,2.44,Fail
S01421,Male,17,Bachelor,Medium,Yes,Moderate,4.05,100.0,6.45,2.3,88.0,75.6,2,No,2.85,Pass
S01422,Male,18,High School,Low,Yes,Quiet,1.56,87.4,5.35,1.2,80.3,67.0,1,No,2.34,Pass
S01423,Male,18,Master,Medium,Yes,Quiet,3.36,75.7,8.63,2.8,79.1,100.0,1,No,2.84,Pass
S01424,Male,18,Bachelor,Medium,Yes,Noisy,3.4,76.0,7.0,2.1,85.7,53.5,3,Yes,1.98,Fail
S01425,Female,16,Master,Low,Yes,Quiet,2.15,79.6,6.09,0.0,76.3,52.6,1,Yes,1.99,Fail
S01426,Female,15,High School,Medium,Yes,Moderate,3.43,95.3,5.95,2.8,55.7,61.1,0,Yes,3.1,Pass
S01427,Male,18,High School,Low,Yes,Noisy,1.1,80.0,5.79,1.0,62.9,78.9,3,No,1.61,Fail
S01428,Male,18,Bachelor,Low,Yes,Quiet,1.89,94.6,7.37,2.7,63.8,79.1,2,Yes,1.54,Fail
S01429,Female,18,High School,Medium,No,Quiet,3.72,69.8,5.35,2.3,90.0,61.8,3,Yes,1.81,Fail
S01430,Male,15,Bachelor,Medium,Yes,Moderate,3.04,87.9,6.82,3.1,100.0,85.2,3,No,1.99,Fail
S01431,Male,15,High School,High,Yes,Moderate,3.1,77.5,7.57,0.0,73.0,63.5,3,No,1.73,Fail
S01432,Male,18,Bachelor,High,Yes,Moderate,2.79,90.2,6.41,1.0,100.0,82.8,2,Yes,2.3,Pass
S01433,Female,18,PhD,Medium,Yes,Moderate,3.64,82.4,5.99,2.7,51.6,49.1,1,No,2.1,Fail
S01434,Female,17,Bachelor,Medium,Yes,Noisy,3.7,93.0,7.84,6.8,72.4,55.5,6,Yes,1.68,Fail
S01435,Female,18,Master,Medium,Yes,Quiet,3.95,80.7,5.87,2.7,82.7,63.8,1,Yes,2.08,Pass
S01436,Female,16,Bachelor,Low,Yes,Moderate,3.15,84.7,6.72,1.8,41.7,69.1,1,Yes,1.63,Fail
S01437,Female,16,Bachelor,Medium,Yes,Quiet,2.53,93.1,7.12,3.8,100.0,57.4,1,Yes,2.21,Fail
S01438,Male,18,Master,High,Yes,Quiet,2.33,84.0,6.4,1.6,69.6,57.2,0,No,2.06,Fail
S01439,Female,15,Master,Medium,Yes,Quiet,1.73,85.6,5.8,3.1,80.5,76.8,1,No,1.45,Fail
S01440,Male,17,Master,Low,Yes,Moderate,2.52,92.6,6.44,2.6,86.7,82.3,1,No,1.65,Fail
S01441,Male,15,High School,Medium,Yes,Noisy,2.27,84.2,7.34,4.1,56.1,58.3,1,No,1.36,Fail
S01442,Female,18,Bachelor,Low,Yes,Quiet,4.92,69.2,6.27,3.5,100.0,49.9,1,No,2.79,Fail
S01443,Female,16,High School,Medium,Yes,Quiet,1.74,79.3,7.45,1.8,82.0,71.5,5,No,1.57,Fail
S01444,Male,17,Bachelor,Medium,Yes,Quiet,4.24,65.8,6.74,0.2,74.9,77.0,3,Yes,2.04,Pass
S01445,Male,15,Bachelor,Medium,Yes,Quiet,2.68,82.5,6.39,0.9,63.3,54.3,5,Yes,2.04,Pass
S01446,Male,15,Master,Medium,Yes,Moderate,2.75,89.7,6.27,2.9,83.1,95.1,7,No,1.96,Pass
S01447,Female,18,Master,High,Yes,Moderate,3.48,86.2,7.23,2.4,56.4,56.8,1,No,1.7,Fail
S01448,Female,17,Bachelor,Low,Yes,Noisy,1.3,98.9,8.13,2.5,82.1,66.0,1,Yes,2.05,Fail
S01449,Female,16,High School,High,Yes,Moderate,2.04,97.8,7.12,2.9,100.0,66.3,1,Yes,2.27,Pass
S01450,Female,18,Master,Medium,Yes,Moderate,1.51,87.6,6.04,1.3,97.5,57.8,1,Yes,1.08,Fail
S01451,Female,17,High School,High,Yes,Quiet,2.54,61.1,8.09,2.3,71.7,97.2,1,Yes,2.7,Pass
S01452,Male,15,Bachelor,Medium,No,Moderate,1.91,91.7,6.11,2.5,75.8,56.0,2,No,2.0,Fail
S01453,Female,18,High School,Low,Yes,Moderate,4.58,77.3,8.73,0.3,88.1,96.0,2,Yes,3.0,Pass
S01454,Male,15,High School,High,Yes,Noisy,2.3,93.8,6.84,1.6,97.7,65.5,0,No,1.91,Fail
S01455,Male,15,PhD,Medium,Yes,Noisy,0.5,88.1,6.12,3.1,100.0,65.5,4,No,1.4,Fail
S01456,Male,18,High School,Low,Yes,Noisy,2.6,91.6,7.56,3.5,100.0,60.3,0,Yes,2.1,Pass
S01457,Female,18,Bachelor,Low,Yes,Quiet,3.97,90.0,6.69,1.3,66.0,80.2,3,Yes,2.35,Pass
S01458,Female,18,High School,Medium,Yes,Quiet,4.96,100.0,7.44,3.2,91.3,99.7,3,No,2.96,Pass
S01459,Female,18,Master,Medium,Yes,Noisy,2.72,90.2,7.09,1.6,59.2,61.5,1,Yes,1.2,Fail
S01460,Male,18,Master,Medium,Yes,Moderate,2.38,72.2,5.62,1.2,73.1,65.5,0,No,1.49,Fail
S01461,Male,15,High School,Medium,Yes,Moderate,2.98,95.7,6.93,5.4,62.4,91.9,5,No,1.59,Fail
S01462,Male,16,High School,Medium,Yes,Quiet,3.5,80.7,7.5,1.9,62.7,53.2,3,Yes,2.08,Pass
S01463,Male,16,Bachelor,Medium,No,Noisy,1.65,98.5,7.11,0.3,83.6,58.3,4,Yes,1.92,Fail
S01464,Male,18,High School,Medium,Yes,Moderate,2.71,100.0,8.26,1.8,69.6,90.5,1,No,2.03,Fail
S01465,Male,15,Bachelor,Low,Yes,Moderate,2.94,91.2,7.31,2.1,84.3,76.3,3,No,2.33,Fail
S01466,Female,16,High School,High,Yes,Noisy,3.05,72.2,6.76,3.9,61.9,57.0,4,No,1.34,Fail
S01467,Female,16,High School,Low,No,Quiet,2.83,80.4,7.21,2.0,87.3,79.3,1,No,2.06,Pass
S01468,Female,16,Bachelor,Medium,No,Moderate,1.88,98.4,6.51,3.1,73.5,46.9,1,No,1.56,Fail
S01469,Female,15,High School,Medium,Yes,Moderate,3.41,100.0,7.36,4.1,75.6,86.3,1,Yes,1.66,Fail
S01470,Male,18,Master,Medium,Yes,Moderate,2.95,85.6,7.36,1.6,60.5,40.5,1,No,2.36,Fail
S01471,Male,18,High School,Low,Yes,Quiet,2.94,82.3,5.76,2.9,95.3,54.7,2,No,1.88,Fail
S01472,Female,18,High School,Low,Yes,Moderate,1.7,73.2,7.77,2.4,82.1,75.6,2,Yes,2.17,Fail
S01473,Male,17,PhD,Medium,Yes,Moderate,3.77,73.3,9.23,2.8,88.1,51.1,2,No,2.34,Pass
S01474,Female,17,Bachelor,High,Yes,Moderate,1.86,87.3,7.55,2.7,60.9,70.2,4,No,1.73,Fail
S01475,Female,17,Bachelor,Medium,Yes,Noisy,4.94,92.0,4.97,2.7,90.1,78.5,1,No,2.16,Pass
S01476,Female,15,High School,Medium,Yes,Quiet,1.58,70.1,6.57,2.1,80.6,58.9,2,No,0.92,Fail
S01477,Male,16,Bachelor,Medium,Yes,Noisy,3.91,93.3,5.72,2.5,72.6,68.2,4,No,2.18,Pass
S01478,Female,16,Bachelor,Low,Yes,Moderate,0.71,98.7,6.71,2.1,100.0,82.6,1,Yes,1.98,Pass
S01479,Female,15,High School,Low,Yes,Moderate,0.5,91.3,7.69,6.0,86.1,76.7,1,No,1.01,Fail
S01480,Female,15,Master,Low,No,Quiet,2.33,100.0,6.28,3.4,86.8,92.8,7,No,1.73,Fail
S01481,Male,18,Bachelor,Medium,Yes,Quiet,0.5,88.6,8.88,2.5,50.5,57.4,2,Yes,0.95,Fail
S01482,Male,18,High School,Low,No,Moderate,3.88,88.7,4.12,2.0,96.2,55.1,1,Yes,2.65,Pass
S01483,Female,17,Bachelor,Low,Yes,Quiet,2.97,88.5,6.75,4.0,86.7,89.7,2,No,1.78,Pass
S01484,Male,17,Bachelor,Medium,Yes,Noisy,4.68,98.6,7.38,1.3,98.6,75.7,1,No,2.44,Pass
S01485,Male,15,High School,High,Yes,Quiet,2.8,90.4,5.78,0.6,71.1,66.2,2,No,1.9,Fail
S01486,Male,17,Bachelor,High,Yes,Noisy,3.29,79.7,5.91,0.5,69.3,61.2,1,Yes,2.25,Pass
S01487,Male,16,High School,Medium,Yes,Moderate,2.68,89.2,7.76,4.4,100.0,82.2,4,Yes,2.59,Pass
S01488,Male,15,Bachelor,Low,Yes,Moderate,1.95,89.3,8.93,4.4,94.4,64.2,4,No,1.92,Fail
S01489,Male,15,Master,Medium,No,Quiet,2.51,82.9,9.05,2.7,58.6,81.7,1,No,1.16,Fail
S01490,Male,16,Bachelor,Low,Yes,Quiet,1.56,95.2,6.65,1.7,80.2,89.0,2,No,1.67,Fail
S01491,Male,18,Master,Medium,Yes,Quiet,3.46,85.9,8.35,1.7,95.3,71.6,2,No,2.92,Pass
S01492,Male,18,High School,Medium,Yes,Moderate,2.63,92.1,6.93,5.6,82.7,49.6,1,Yes,0.12,Fail
S01493,Male,16,Bachelor,Medium,Yes,Moderate,2.88,90.1,7.92,2.4,71.8,78.5,1,No,1.31,Fail
S01494,Female,16,Master,High,Yes,Moderate,6.39,77.7,6.79,3.0,70.0,86.6,0,Yes,3.19,Pass
S01495,Female,17,Bachelor,Medium,Yes,Noisy,2.52,75.2,5.87,1.8,81.0,88.0,2,Yes,2.36,Pass
S01496,Male,15,Bachelor,Medium,Yes,Moderate,3.38,77.8,8.6,2.6,95.3,72.5,2,No,1.85,Fail
S01497,Female,17,High School,Low,Yes,Quiet,2.94,84.2,8.86,3.1,65.1,44.3,1,No,2.59,Pass
S01498,Female,16,High School,High,Yes,Quiet,4.39,100.0,6.58,5.2,48.0,63.2,3,No,2.35,Pass
S01499,Male,17,High School,Low,Yes,Noisy,3.29,84.5,7.94,2.4,73.9,62.5,1,No,1.84,Fail
S01500,Male,16,PhD,High,Yes,Quiet,2.67,88.7,6.85,3.3,86.8,82.8,1,No,1.85,Pass
S01501,Male,17,High School,Medium,Yes,Moderate,5.75,93.7,9.18,2.0,90.1,76.2,2,No,2.82,Pass
S01502,Female,17,Master,Low,No,Quiet,1.97,81.4,5.51,2.8,64.8,83.5,3,No,1.88,Fail
S01503,Female,18,Bachelor,High,Yes,Quiet,2.77,80.9,6.82,3.0,84.0,59.8,4,Yes,1.78,Pass
S01504,Male,16,High School,Low,Yes,Moderate,4.1,95.5,5.55,2.2,70.4,73.2,0,Yes,2.4,Pass
S01505,Male,17,Bachelor,High,No,Moderate,2.02,90.7,5.41,2.9,91.0,35.6,2,No,1.51,Fail
S01506,Male,15,Master,Low,Yes,Moderate,3.92,79.4,6.88,1.4,78.0,63.9,3,Yes,2.24,Pass
S01507,Female,17,Master,High,Yes,Moderate,2.42,80.9,6.55,3.3,92.6,47.7,3,No,1.54,Pass
